"BehaviorSpace results (NetLogo 6.2.0)"
"Fire.nlogo"
"experiment"
"10/07/2021 18:09:48:391 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","density","[step]","(burned-trees / initial-trees) * 100"
"7","10","14","0.4201001777346906"
"4","10","15","0.5756315957787016"
"2","10","14","0.3040486477836454"
"3","10","14","0.5714285714285714"
"6","10","14","0.36595067621320604"
"8","10","15","0.45575986170045574"
"5","10","14","0.4129606099110546"
"1","10","15","0.44331855604813175"
"9","10","13","0.338436744560838"
"10","10","14","0.4011553273427471"
"15","10","16","0.5927312431757916"
"12","10","14","0.4176035978156119"
"13","10","14","0.5081784976973162"
"14","10","14","0.45241809672386896"
"11","10","15","0.6116207951070336"
"16","10","16","0.37926675094816686"
"17","10","13","0.4180064308681672"
"19","10","16","0.5291853752405388"
"20","10","13","0.32041012495994875"
"24","10","16","0.511754357908204"
"18","10","14","0.35848134267557435"
"25","10","13","0.3347680535628886"
"21","10","14","0.5409705648369133"
"23","10","14","0.46474358974358976"
"28","10","16","0.4716981132075472"
"30","10","15","0.30571198712791636"
"26","10","16","0.587115201523326"
"22","10","14","0.49073927497229697"
"29","10","15","0.5437390052774668"
"32","20","14","0.4622987406344652"
"27","10","17","0.6457862447529867"
"34","20","16","0.554675118858954"
"35","20","20","0.7913270554720266"
"37","20","15","0.5176807900605288"
"36","20","16","0.47732696897374705"
"39","20","23","0.6846043623626811"
"33","20","15","0.43269609000078674"
"31","20","18","0.5766192733017378"
"38","20","18","0.641179770778232"
"45","20","17","0.48706483551580965"
"43","20","16","0.5527074655559115"
"42","20","15","0.4031282754172378"
"41","20","18","0.5574136008918618"
"40","20","15","0.5255195477346922"
"46","20","19","0.4556354916067146"
"44","20","17","0.6123747415301415"
"47","20","16","0.5729291000238721"
"50","20","16","0.5585273757079925"
"51","20","16","0.5301204819277108"
"52","20","16","0.4872204472843451"
"49","20","17","0.5214182576608375"
"55","20","18","0.5520940137234798"
"53","20","16","0.4952440845845453"
"48","20","16","0.48187060589304054"
"54","20","16","0.4681572362579708"
"58","20","15","0.5355715427657874"
"60","20","17","0.5258126195028681"
"57","20","18","0.7253886010362695"
"59","20","16","0.4132231404958678"
"56","20","17","0.6433166547533953"
"61","30","17","0.5644857803343907"
"63","30","22","0.7117437722419928"
"62","30","27","0.6436732285576355"
"67","30","22","0.5756092312658023"
"66","30","19","0.7763975155279503"
"64","30","18","0.6060928279015365"
"68","30","20","0.8919564640297318"
"65","30","17","0.5672480517415045"
"69","30","19","0.7889859676992322"
"71","30","20","0.6543249281838494"
